timestamp, latitude, longitude ,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z
1545365126,49.3123,128.7256,0.19250019600319976,-0.033736075135063416,0.4353257223892725,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365136,49.1101,129.63,0.1940837469734297,-0.034063986785443985,0.4321304829628597,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365146,48.9003,130.5266,0.19568229494043315,-0.034325634046523286,0.42884897012875933,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365156,48.6828,131.4152,0.19729331194568775,-0.034520837627741004,0.42548326739846015,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365166,48.4579,132.2957,0.1989121814435842,-0.03464961746468197,0.42203795623097096,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365176,48.2375,133.1245,0.20045410254594845,-0.034710628804952286,0.4186945180152671,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365186,47.9985,133.9886,0.20207806369272652,-0.034710696184437284,0.4151046278940109,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365196,47.7525,134.8443,0.20369938172852495,-0.03464555836840475,0.4114458888884647,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365206,47.4994,135.6914,0.2053158474406083,-0.0345159594895193,0.4077205951071548,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365216,47.2396,136.5299,0.2069228806654044,-0.03432283635356683,0.4039341699460814,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365226,46.9731,137.3598,0.2085180640498447,-0.03406722814578389,0.4000892300171275,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365236,46.7,138.1808,0.21009849556971805,-0.03375041537590638,0.396189803759831,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365246,46.4205,138.9931,0.2116610837573252,-0.03337369085116742,0.3922395298784041,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365256,46.1347,139.7965,0.21320325579336147,-0.03293858766159759,0.3882422422043888,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365266,45.8427,140.5911,0.2147226605906136,-0.03244663168588095,0.3842010800835993,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365276,45.5446,141.3769,0.21621706361200674,-0.031899482187400525,0.3801194029352512,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365286,45.2407,142.1539,0.21768349202251291,-0.031298965948943026,0.3760021120634274,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365296,44.9309,142.922,0.21912093108045133,-0.03064692346512391,0.3718512236464725,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365306,44.6155,143.6814,0.22052677548826552,-0.029945215604337067,0.3676711642686367,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365316,44.2945,144.4321,0.22189987626137614,-0.0291957710821525,0.3634644397504235,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365326,43.9681,145.174,0.22323839837585374,-0.028400756925316805,0.3592353147871204,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365336,43.6364,145.9074,0.2245410937112713,-0.02756200087991563,0.3549863547739231,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365346,43.2995,146.6321,0.22580689343517096,-0.0266818001933784,0.3507211613782884,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365356,42.9575,147.3483,0.2270348647454093,-0.0257621216221153,0.3464424243645433,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365366,42.6105,148.0562,0.2282242097849199,-0.024804926174827692,0.3421527990441112,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365376,42.2588,148.7556,0.2293736282354595,-0.023812743982170783,0.3378573477705952,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365386,41.9023,149.4466,0.23048343398228816,-0.022787546769868928,0.33355715916578754,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365396,41.5411,150.1296,0.23155322199348224,-0.021731078395831743,0.32925432544044475,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365406,41.1755,150.8044,0.2325822200593982,-0.02064591311226983,0.324953703746372,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365416,40.8055,151.4713,0.2335707083016235,-0.01953381294872017,0.3206566406373689,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365426,40.45,152.0974,0.2344725068056755,-0.018454508748126174,0.3165802631835345,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365436,40.0717,152.7488,0.23538267598373794,-0.017296247728026886,0.3122977992271915,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365446,39.6893,153.3926,0.2362530730965828,-0.0161170505076347,0.3080260059113867,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365456,39.3029,154.0287,0.23708431161164376,-0.014919165463471454,0.3037674512279881,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365466,38.9126,154.6574,0.2378769175837522,-0.013704288543901657,0.29952396479140714,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365476,38.5186,155.2787,0.2386314091599601,-0.012474579528071931,0.2952986075113437,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365486,38.1208,155.8927,0.2393492256041689,-0.011231742736577377,0.2910916644524055,-0.18425908267884727,-0.21571475516209948,69.92269515929407
1545365496,37.7194,156.4996,0.24003097199064904,-0.009977597686563916,0.28690571048891683,-0.18425908267884727,-0.21571475516209948,69.92269515929407
