timestamp, latitude, longitude ,mag_x,mag_y,mag_z
1545365126,49.3123,128.7256,0.19250019600319979,-0.033736075135063416,0.4353257223892725
1545365136,49.1101,129.63,0.1940837469734297,-0.03406398678544399,0.43213048296285966
1545365146,48.9003,130.5266,0.19568229494043313,-0.034325634046523286,0.42884897012875944
1545365156,48.6828,131.4152,0.19729331194568778,-0.034520837627741004,0.42548326739846015
1545365166,48.4579,132.2957,0.1989121814435842,-0.03464961746468197,0.42203795623097096
1545365176,48.2375,133.1245,0.20045410254594845,-0.034710628804952286,0.4186945180152671
1545365186,47.9985,133.9886,0.20207806369272655,-0.03471069618443729,0.4151046278940109
1545365196,47.7525,134.8443,0.20369938172852498,-0.03464555836840475,0.4114458888884647
1545365206,47.4994,135.6914,0.2053158474406083,-0.0345159594895193,0.40772059510715475
1545365216,47.2396,136.5299,0.2069228806654044,-0.03432283635356683,0.4039341699460814
1545365226,46.9731,137.3598,0.2085180640498447,-0.03406722814578389,0.40008923001712754
1545365236,46.7,138.1808,0.210098495569718,-0.03375041537590638,0.396189803759831
1545365246,46.4205,138.9931,0.2116610837573252,-0.03337369085116742,0.39223952987840405
1545365256,46.1347,139.7965,0.21320325579336147,-0.03293858766159759,0.38824224220438874
1545365266,45.8427,140.5911,0.21472266059061362,-0.03244663168588095,0.38420108008359943
1545365276,45.5446,141.3769,0.21621706361200674,-0.031899482187400525,0.3801194029352512
1545365286,45.2407,142.1539,0.21768349202251294,-0.031298965948943026,0.37600211206342743
1545365296,44.9309,142.922,0.21912093108045133,-0.03064692346512391,0.37185122364647244
1545365306,44.6155,143.6814,0.22052677548826552,-0.02994521560433707,0.36767116426863666
1545365316,44.2945,144.4321,0.22189987626137617,-0.0291957710821525,0.3634644397504235
1545365326,43.9681,145.174,0.22323839837585377,-0.028400756925316805,0.3592353147871204
1545365336,43.6364,145.9074,0.2245410937112713,-0.02756200087991563,0.3549863547739231
1545365346,43.2995,146.6321,0.22580689343517096,-0.026681800193378402,0.3507211613782884
1545365356,42.9575,147.3483,0.22703486474540935,-0.0257621216221153,0.3464424243645433
1545365366,42.6105,148.0562,0.22822420978491992,-0.02480492617482769,0.34215279904411117
1545365376,42.2588,148.7556,0.2293736282354595,-0.023812743982170783,0.3378573477705952
1545365386,41.9023,149.4466,0.23048343398228816,-0.022787546769868928,0.33355715916578754
1545365396,41.5411,150.1296,0.23155322199348224,-0.021731078395831743,0.32925432544044475
1545365406,41.1755,150.8044,0.23258222005939821,-0.02064591311226983,0.324953703746372
1545365416,40.8055,151.4713,0.2335707083016235,-0.019533812948720166,0.32065664063736893
1545365426,40.45,152.0974,0.23447250680567547,-0.018454508748126174,0.3165802631835345
1545365436,40.0717,152.7488,0.23538267598373794,-0.017296247728026886,0.3122977992271915
1545365446,39.6893,153.3926,0.23625307309658278,-0.0161170505076347,0.3080260059113867
1545365456,39.3029,154.0287,0.23708431161164378,-0.014919165463471454,0.30376745122798815
1545365466,38.9126,154.6574,0.2378769175837522,-0.013704288543901657,0.29952396479140714
1545365476,38.5186,155.2787,0.23863140915996006,-0.012474579528071933,0.2952986075113437
1545365486,38.1208,155.8927,0.2393492256041689,-0.011231742736577375,0.2910916644524055
1545365496,37.7194,156.4996,0.24003097199064904,-0.009977597686563915,0.28690571048891683
1545365506,37.3144,157.0995,0.24067796980987857,-0.008713865300092811,0.28274169436527075
1545365516,36.9061,157.6924,0.24129091661386018,-0.007442683852587451,0.2786030942262882
1545365526,36.4944,158.2785,0.24187150462444307,-0.0061654552186242,0.27448968213706443
1545365536,36.0794,158.858,0.24242095761934207,-0.0048837449986993365,0.2704028273535129
1545365546,35.6613,159.4309,0.24294050150516108,-0.003599478335701145,0.26634484328849595
1545365556,35.2399,159.9975,0.2434321292676468,-0.0023136691564550295,0.26231430595145966
1545365566,34.8156,160.5577,0.24389682107220692,-0.0010285315506890506,0.25831505437229896
1545365576,34.3884,161.1117,0.24433630580666574,0.00025463356000960866,0.25434719929519245
1545365586,33.9583,161.6596,0.2447524310762458,0.0015344241540562896,0.25041083819706084
1545365596,33.5255,162.2015,0.2451466511278315,0.0028092513394108705,0.24650759664771563
1545365606,33.0899,162.7376,0.24552099951945267,0.004078052534832768,0.24263646206240402
1545365616,32.6517,163.268,0.24587699856593326,0.005339317053065138,0.23879883706986202
1545365626,32.2109,163.7927,0.24621671951751437,0.006591663209827011,0.2349944036271048
1545365636,31.7677,164.312,0.24654154056234995,0.007833942850976603,0.23122422024522188
1545365646,31.3219,164.8259,0.24685394820316986,0.009065087136554522,0.22748611638396854
1545365656,30.8738,165.3345,0.24715535601003158,0.010283631459121539,0.22378179211949661
1545365666,30.4234,165.838,0.24744765464214563,0.011488636152801799,0.22011038742458447
1545365676,29.9707,166.3365,0.2477328291717979,0.01267906322745704,0.2164709556582341
1545365686,29.5159,166.83,0.24801259748320287,0.013853555992442167,0.21286401301849808
1545365696,29.0589,167.3188,0.2482888754651518,0.0150115418817367,0.20928757136596218
1545365706,28.6228,167.7787,0.2485499269752129,0.01609515359723212,0.2059176853651046
1545365716,28.1618,168.2584,0.24882464730919335,0.017217756632385495,0.2023991101281906
1545365726,27.6989,168.7335,0.24910116221806045,0.018320717264442704,0.19890913430734544
1545365736,27.2341,169.2043,0.2493810680533368,0.019403511531590385,0.19544614123217302
1545365746,26.7674,169.6708,0.249666251628845,0.020465291052169488,0.19200831826442075
1545365756,26.2989,170.1331,0.24995825601832633,0.021505272150759803,0.1885945431117362
1545365766,25.8287,170.5914,0.25025845015974907,0.022522836152958452,0.18520363557252043
