timestamp, latitude, longitude ,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,axis,power
1545365126,49.3123,128.7256,-0.007499803996800225,-0.033736075135063416,0.4353257223892725,0.016708989713715792,0.0038513011785809427,1.5167020251060677,0,-0.0026422071972092773
1545365136,49.1101,129.63,-0.005916253026570312,-0.03406398678544399,0.43213048296285966,0.004367759626097063,0.00021905092403240337,1.047537162930784,0,-0.0017888975328465648
1545365146,48.9003,130.5266,-0.004317705059566884,-0.034325634046523286,0.42884897012875944,-0.014115657723207881,-0.00343789544797067,-1.1247954127696624,0,0.0020041826819106054
1545365156,48.6828,131.4152,-0.002706688054312234,-0.034520837627741004,0.42548326739846015,-0.01162521619914445,0.013756151033474818,1.0814129220318591,0,-0.002159214598927616
1545365166,48.4579,132.2957,-0.0010878185564158205,-0.03464961746468197,0.42203795623097096,-0.00870862569618973,0.003921319642070471,-1.316005307776886,0,0.002197206738424619
1545365176,48.2375,133.1245,0.00045410254594843713,-0.034710628804952286,0.4186945180152671,0.01088279117821007,0.0022562423065722805,-1.4245875728706292,0,0.0024251827078492195
1545365186,47.9985,133.9886,0.002078063692726534,-0.03471069618443729,0.4151046278940109,-0.015649556727719158,-0.012973779326612055,1.269865817850486,0,-0.0019346225379328948
1545365196,47.7525,134.8443,0.003699381728524964,-0.03464555836840475,0.4114458888884647,0.007888830843460504,-0.0028219137461561023,-1.4393428132824584,0,0.0025513950129687542
1545365206,47.4994,135.6914,0.0053158474406082845,-0.0345159594895193,0.40772059510715475,-0.014313639327161126,-0.010039033814473469,1.0943128058719152,0,-0.0016839067817599627
1545365216,47.2396,136.5299,0.006922880665404391,-0.03432283635356683,0.4039341699460814,-0.004238824623835313,0.001864504970804826,-1.4922822759269434,0,0.0025233111541113178
1545365226,46.9731,137.3598,0.008518064049844676,-0.03406722814578389,0.40008923001712754,-0.005526935058935633,-0.005600773535930516,1.439422010603813,0,-0.0023398154430906157
1545365236,46.7,138.1808,0.01009849556971798,-0.03375041537590638,0.396189803759831,0.012008551670568858,-0.0024683543987236347,-1.3740039191902857,0,0.002367556992281774
1545365246,46.4205,138.9931,0.011661083757325191,-0.03337369085116742,0.39223952987840405,0.015878186986466314,-0.014729820183957174,-1.4709632697574877,0,0.0027434545581228784
1545365256,46.1347,139.7965,0.013203255793361457,-0.03293858766159759,0.38824224220438874,0.012415203902922192,-0.012701186929529453,1.4688180858370599,0,-0.002172482799355319
1545365266,45.8427,140.5911,0.014722660590613612,-0.03244663168588095,0.38420108008359943,-0.014442110847531726,0.0015849644084050302,-1.2677547856599838,0,0.0020262713780359585
1545365276,45.5446,141.3769,0.016217063612006727,-0.031899482187400525,0.3801194029352512,0.008584430562248902,0.006878805423380919,1.1775439909613878,0,-0.0020088905487498318
1545365286,45.2407,142.1539,0.01768349202251293,-0.031298965948943026,0.37600211206342743,-0.013608306726764196,-0.008425838821862474,1.524353351021702,0,-0.0022271275217429568
1545365296,44.9309,142.922,0.01912093108045132,-0.03064692346512391,0.37185122364647244,-0.0002627472072194872,-0.005131762923701582,1.440380459871407,0,-0.0021117488695848482
1545365306,44.6155,143.6814,0.02052677548826551,-0.02994521560433707,0.36767116426863666,-0.01671816809472795,0.0052599173403021626,1.374997072867679,0,-0.0021554251867410353
1545365316,44.2945,144.4321,0.021899876261376156,-0.0291957710821525,0.3634644397504235,0.01328268011333634,0.008882979109954527,1.1485493809213434,0,-0.0018380715913720925
