timestamp, latitude, longitude 
1545367117,-39.2403,-132.2702
1545367127,-39.6262,-131.6373
1545367137,-40.0080,-130.9970
1545367147,-40.3859,-130.3490
1545367157,-40.7595,-129.6933
1545367167,-41.1289,-129.0297
1545367177,-41.4939,-128.3583
1545367187,-41.8544,-127.6788
1545367197,-42.2104,-126.9912
1545367207,-42.5617,-126.2954
1545367217,-42.9082,-125.5912
1545367227,-43.2497,-124.8787
1545367237,-43.5863,-124.1578
1545367247,-43.9177,-123.4283
1545367257,-44.2438,-122.6904
1545367267,-44.5646,-121.9437
1545367277,-44.8798,-121.1885
1545367287,-45.1895,-120.4246
1545367297,-45.4934,-119.6519
1545367307,-45.7914,-118.8705
1545367317,-46.0690,-118.1200
1545367327,-46.3552,-117.3215
1545367337,-46.6352,-116.5143
1545367347,-46.9089,-115.6984
1545367357,-47.1760,-114.8738
1545367367,-47.4366,-114.0405
1545367377,-47.6904,-113.1987
1545367387,-47.9373,-112.3484
1545367397,-48.1772,-111.4897
1545367407,-48.4100,-110.6225
1545367417,-48.6357,-109.7471
1545367427,-48.8539,-108.8636
1545367437,-49.0647,-107.9721
1545367447,-49.2678,-107.0729
1545367457,-49.4633,-106.1661
1545367467,-49.6508,-105.2519
1545367477,-49.8305,-104.3304
1545367487,-50.0021,-103.4019
1545367497,-50.1656,-102.4666
1545367507,-50.3207,-101.5247
1545367517,-50.4675,-100.5767
1545367527,-50.6059,-99.6227
1545367537,-50.7357,-98.6630
1545367547,-50.8569,-97.6979
1545367557,-50.9693,-96.7278
1545367567,-51.0729,-95.7529
1545367577,-51.1632,-94.8229
1545367587,-51.2495,-93.8399
1545367597,-51.3268,-92.8533
1545367607,-51.3950,-91.8635
1545367617,-51.4542,-90.8709
1545367627,-51.5042,-89.8757
1545367637,-51.5450,-88.8785
1545367647,-51.5767,-87.8796
1545367657,-51.5991,-86.8794
1545367667,-51.6122,-85.8786
1545367677,-51.6162,-84.8773
1545367687,-51.6108,-83.8760
1545367697,-51.5962,-82.8752
1545367707,-51.5724,-81.8753
1545367717,-51.5393,-80.8767
1545367727,-51.4971,-79.8798
1545367737,-51.4457,-78.8849
1545367747,-51.3851,-77.8927
1545367757,-51.3155,-76.9034
1545367767,-51.2368,-75.9175
1545367777,-51.1492,-74.9352
1545367787,-51.0526,-73.9572
1545367797,-50.9472,-72.9835
1545367807,-50.8330,-72.0146
1545367817,-50.7101,-71.0509
1545367827,-50.5786,-70.0927
1545367837,-50.4458,-69.1878
1545367847,-50.2978,-68.2411
1545367857,-50.1415,-67.3006
1545367867,-49.9684,-66.3203
1545367877,-49.8041,-65.4397
1545367887,-49.6233,-64.5198
1545367897,-49.4346,-63.6069
1545367907,-49.2381,-62.7017
1545367917,-49.0339,-61.8041
1545367927,-48.8222,-60.9143
1545367937,-48.6030,-60.0325
1545367947,-48.3764,-59.1589
1545367957,-48.1427,-58.2935
1545367967,-47.9019,-57.4365
1545367977,-47.6541,-56.5879
1545367987,-47.3995,-55.7479
1545367997,-47.1381,-54.9164
1545368007,-46.8702,-54.0935
1545368017,-46.5958,-53.2793
1545368027,-46.3151,-52.4740
1545368037,-46.0282,-51.6772
1545368047,-45.7352,-50.8894
1545368057,-45.4363,-50.1103
1545368067,-45.1315,-49.3398
1545368077,-44.8211,-48.5781
1545368087,-44.5050,-47.8251
1545368097,-44.1997,-47.1178
1545368107,-43.8731,-46.3816
1545368117,-43.5413,-45.6540
1545368127,-43.2044,-44.9349
1545368137,-42.8625,-44.2242
1545368147,-42.5156,-43.5218
1545368157,-42.1640,-42.8276
1545368167,-41.8078,-42.1417
1545368177,-41.4469,-41.4639
1545368187,-41.0817,-40.7942
1545368197,-40.7122,-40.1323
1545368207,-40.3384,-39.4784
1545368217,-39.9604,-38.8321
1545368227,-39.5785,-38.1934
1545368237,-39.1926,-37.5622
1545368247,-38.8029,-36.9384
1545368257,-38.4094,-36.3219
1545368267,-38.0123,-35.7125
1545368277,-37.6113,-35.1098
1545368287,-37.2071,-34.5144
1545368297,-36.7995,-33.9258
1545368307,-36.3886,-33.3439
1545368317,-35.9745,-32.7686
1545368327,-35.5572,-32.1997
1545368337,-35.1369,-31.6372
1545368347,-34.7348,-31.1086
1545368357,-34.3088,-30.5582
1545368367,-33.8799,-30.0137
1545368377,-33.4483,-29.4751
1545368387,-33.0140,-28.9424
1545368397,-32.5771,-28.4153
1545368407,-32.1376,-27.8937
1545368417,-31.6956,-27.3775
1545368427,-31.2512,-26.8666
1545368437,-30.8045,-26.3609
1545368447,-30.3555,-25.8603
1545368457,-29.9043,-25.3647
1545368467,-29.4508,-24.8739
1545368477,-28.9953,-24.3878
1545368487,-28.5377,-23.9065
1545368497,-28.0781,-23.4296
