timestamp, latitude, longitude ,mag_x,mag_y,mag_z,gyro_x,gyro_y,gyro_z,axis,power,power_norm
1545365126,49.3123,128.7256,-0.007499803996800225,-0.033736075135063416,0.4353257223892725,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.094603032531565,53.12984892058649
1545365136,49.1101,129.63,-0.005916253026570312,-0.03406398678544399,0.43213048296285966,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.145587009772121,53.2729495511992
1545365146,48.9003,130.5266,-0.004317705059566884,-0.034325634046523286,0.42884897012875944,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.187370525835977,53.39022654333622
1545365156,48.6828,131.4152,-0.002706688054312234,-0.034520837627741004,0.42548326739846015,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.219925197740221,53.4816002323073
1545365166,48.4579,132.2957,-0.0010878185564158205,-0.03464961746468197,0.42203795623097096,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.2432469326076605,53.54705913032083
1545365176,48.2375,133.1245,0.00045410254594843713,-0.034710628804952286,0.4186945180152671,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.256873061333248,53.5853046285926
1545365186,47.9985,133.9886,0.002078063692726534,-0.03471069618443729,0.4151046278940109,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.2622891119573625,53.60050627235774
1545365196,47.7525,134.8443,0.003699381728524964,-0.03464555836840475,0.4114458888884647,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.25862759951485,53.59022922517784
1545365206,47.4994,135.6914,0.0053158474406082845,-0.0345159594895193,0.40772059510715475,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.245989846963236,53.55475787795182
1545365216,47.2396,136.5299,0.006922880665404391,-0.03432283635356683,0.4039341699460814,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.224499593832511,53.494439539888006
1545365226,46.9731,137.3598,0.008518064049844676,-0.03406722814578389,0.40008923001712754,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.194299222411446,53.4096738462525
1545365236,46.7,138.1808,0.01009849556971798,-0.03375041537590638,0.396189803759831,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.155562968529856,53.30094983808272
1545365246,46.4205,138.9931,0.011661083757325191,-0.03337369085116742,0.39223952987840405,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.1084673865352475,53.168763063977146
1545365256,46.1347,139.7965,0.013203255793361457,-0.03293858766159759,0.38824224220438874,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,4.053222570053407,53.01370320979325
1545365266,45.8427,140.5911,0.014722660590613612,-0.03244663168588095,0.38420108008359943,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,3.9900386432445556,52.83636004709189
1545365276,45.5446,141.3769,0.016217063612006727,-0.031899482187400525,0.3801194029352512,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,3.919144180132065,52.63737513207671
1545365286,45.2407,142.1539,0.01768349202251293,-0.031298965948943026,0.37600211206342743,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,3.840789020240619,52.41744970846133
1545365296,44.9309,142.922,0.01912093108045132,-0.03064692346512391,0.37185122364647244,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,3.7552292789474353,52.17730263487492
1545365306,44.6155,143.6814,0.02052677548826551,-0.02994521560433707,0.36767116426863666,0.01668058104410506,0.01506052563274513,-1.4080554520872923,0,3.662720310172723,51.917650632707
1545365316,44.2945,144.4321,0.021899876261376156,-0.0291957710821525,0.3634644397504235,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,3.6899038213774946,51.99394867389977
1545365326,43.9681,145.174,0.023238398375853758,-0.028400756925316805,0.3592353147871204,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,3.8713207313108517,52.50314539844685
1545365336,43.6364,145.9074,0.024541093711271278,-0.02756200087991563,0.3549863547739231,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.047659946069855,52.99809016736323
1545365346,43.2995,146.6321,0.025806893435170952,-0.026681800193378402,0.3507211613782884,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.21877697590814,53.47837743022031
1545365356,42.9575,147.3483,0.027034864745409337,-0.0257621216221153,0.3464424243645433,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.384544963794515,53.943651127680546
1545365366,42.6105,148.0562,0.028224209784919907,-0.02480492617482769,0.34215279904411117,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.5448559962434665,54.393608370705756
1545365376,42.2588,148.7556,0.029373628235459498,-0.023812743982170783,0.3378573477705952,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.699535425535778,54.82775896217704
1545365386,41.9023,149.4466,0.030483433982288144,-0.022787546769868928,0.33355715916578754,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.848629264341024,55.24623204937531
1545365396,41.5411,150.1296,0.03155322199348223,-0.021731078395831743,0.32925432544044475,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,4.99208397184748,55.64887735520695
1545365406,41.1755,150.8044,0.032582220059398204,-0.02064591311226983,0.324953703746372,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,5.129798918666705,56.03541243546647
1545365416,40.8055,151.4713,0.03357070830162348,-0.019533812948720166,0.32065664063736893,0.01668058104410506,0.01506052563274513,-1.4080554520872923,1,5.261815793601517,56.405954301307105
